Field Name,New Value
lsId,l02
description,null
signedDate,null
handoverDate,null
startDate,null
endDate,null
lsType,null
rentType,null
spaceUse,null
currency,null
vatExcluded,null
isSign,null
partyId,null
isLandlord,null
landlordTenant,null
leaseSublease,null
parentLsId,null
siteId,HN_S
buildingId,FL_ZEN
pic,null
amountDeposit,null
rentUnitCost,null
serviceUnitCost,null
baseExchangeRate,null
areaNegotiated,94.39
areaCorridor,null
amenityId,null
assumeRenewal,null
indexCost,null
docUrl,null
active,true
createdAt,2026-05-15T22:08:22.183
updatedAt,2026-05-16T11:28:46.248
