Field Name,New Value
lsId,test01
description,test
signedDate,2026-04-26T00:00:00.000Z
handoverDate,2026-05-26
startDate,2026-04-26
endDate,2026-05-27
lsType,EXTERNAL
rentType,GROSS_RENT
spaceUse,OFFICE
currency,USD
vatExcluded,true
isSign,true
partyId,TE-001
isLandlord,null
landlordTenant,null
leaseSublease,LEASE
parentLsId,null
siteId,APR
buildingId,APR-A
pic,null
amountDeposit,1000
rentUnitCost,100
serviceUnitCost,100
baseExchangeRate,1
areaNegotiated,null
areaCorridor,null
amenityId,null
assumeRenewal,true
indexCost,null
docUrl,null
active,false
createdAt,2026-04-26T03:28:04.314
updatedAt,2026-04-26T03:28:04.316
action,UPDATE
