Field Name,New Value
lsId,tetsttt
description,null
signedDate,null
handoverDate,null
startDate,null
endDate,null
lsType,null
rentType,null
spaceUse,null
currency,null
vatExcluded,null
isSign,null
partyId,null
isLandlord,null
landlordTenant,null
leaseSublease,null
parentLsId,null
siteId,null
buildingId,null
pic,null
amountDeposit,null
rentUnitCost,null
serviceUnitCost,null
baseExchangeRate,null
areaNegotiated,null
areaCorridor,null
amenityId,null
assumeRenewal,null
indexCost,null
docUrl,null
active,false
createdAt,2026-05-01T02:46:32.203
updatedAt,2026-05-01T02:46:32.203
action,UPDATE
