Field Name,New Value
lsId,LEASE01
description,test
signedDate,2026-05-13T00:00:00.000Z
handoverDate,2026-05-13
startDate,2026-05-01
endDate,2027-05-10
lsType,EXTERNAL
rentType,GROSS_RENT
spaceUse,OFFICE
currency,VND
vatExcluded,false
isSign,true
partyId,TE-001
isLandlord,null
landlordTenant,null
leaseSublease,LEASE
parentLsId,null
siteId,HN_S
buildingId,FL_ZEN
pic,null
amountDeposit,10000000
rentUnitCost,10000000
serviceUnitCost,1000000
baseExchangeRate,1
areaNegotiated,null
areaCorridor,null
amenityId,null
assumeRenewal,true
indexCost,null
docUrl,null
active,true
createdAt,2026-05-13T17:55:25.138
updatedAt,2026-05-13T22:26:19.784
action,UPDATE
