Field Name,New Value
lsId,LEASE03
description,null
signedDate,2026-05-01T00:00:00.000Z
handoverDate,2026-05-01
startDate,2026-05-01
endDate,2026-05-31
lsType,MSB
rentType,REVENUE_SHARING
spaceUse,OFFICE
currency,USD
vatExcluded,true
isSign,true
partyId,TE-001
isLandlord,null
landlordTenant,null
leaseSublease,null
parentLsId,null
siteId,APR
buildingId,APR_B
pic,null
amountDeposit,100
rentUnitCost,100
serviceUnitCost,5
baseExchangeRate,26000
areaNegotiated,null
areaCorridor,null
amenityId,APR_B_Pool
assumeRenewal,true
indexCost,null
docUrl,null
active,true
createdAt,2026-05-17T02:56:01.884
updatedAt,2026-05-17T02:56:18.832
action,UPDATE
