Field Name,New Value
lsId,1
description,test
signedDate,null
handoverDate,null
startDate,null
endDate,null
lsType,null
rentType,null
spaceUse,null
currency,null
vatExcluded,null
isSign,null
partyId,null
isLandlord,null
landlordTenant,null
leaseSublease,null
parentLsId,null
siteId,HN_S
buildingId,FL_ZEN
pic,null
amountDeposit,null
rentUnitCost,null
serviceUnitCost,null
baseExchangeRate,null
areaNegotiated,0
areaCorridor,null
amenityId,null
assumeRenewal,null
indexCost,null
docUrl,null
active,true
createdAt,2026-05-21T22:50:52.538
updatedAt,2026-05-22T13:51:59.916
action,UPDATE
