Field Name,New Value
lsId,LEASE01
description,test
signedDate,2026-05-01T00:00:00.000Z
handoverDate,2026-05-01
startDate,2026-05-01
endDate,2027-05-01
lsType,EXTERNAL
rentType,GROSS_RENT
spaceUse,OFFICE
currency,USD
vatExcluded,null
isSign,true
partyId,TE-001
isLandlord,null
landlordTenant,null
leaseSublease,LEASE
parentLsId,null
siteId,HN_S
buildingId,FL_ZEN
pic,null
amountDeposit,0
rentUnitCost,null
serviceUnitCost,null
baseExchangeRate,26480
areaNegotiated,94.39
areaCorridor,null
amenityId,null
assumeRenewal,true
indexCost,null
docUrl,null
active,true
createdAt,2026-05-14T22:16:34.773
updatedAt,2026-05-14T23:42:30.73
action,UPDATE
