Field Name,New Value
lsId,LEASE-002
description,null
signedDate,2025-01-01T00:00:00.000Z
handoverDate,null
startDate,2027-01-01
endDate,2027-05-31
lsType,EXTERNAL
rentType,GROSS_RENT
spaceUse,MANUFACTURING
currency,USD
vatExcluded,true
isSign,true
partyId,null
isLandlord,null
landlordTenant,null
leaseSublease,LEASE
parentLsId,null
siteId,HN_S
buildingId,FL_ZEN
pic,null
amountDeposit,10000
rentUnitCost,10000000000
serviceUnitCost,1000
baseExchangeRate,2000
areaNegotiated,null
areaCorridor,null
amenityId,null
assumeRenewal,true
indexCost,null
docUrl,null
active,true
createdAt,2026-05-20T00:40:36.168
updatedAt,2026-05-20T00:40:36.168
action,UPDATE
