Field Name,New Value
lsId,qân
description,null
signedDate,null
handoverDate,2026-05-01
startDate,2026-05-01
endDate,2026-12-31
lsType,null
rentType,null
spaceUse,null
currency,USD
vatExcluded,null
isSign,null
partyId,null
isLandlord,null
landlordTenant,null
leaseSublease,null
parentLsId,null
siteId,APR
buildingId,APR-A
pic,null
amountDeposit,null
rentUnitCost,null
serviceUnitCost,null
baseExchangeRate,25000
areaNegotiated,94.39
areaCorridor,null
amenityId,null
assumeRenewal,null
indexCost,null
docUrl,null
active,true
createdAt,2026-05-17T23:03:07.608
updatedAt,2026-05-18T20:16:21.292
