Field Name,New Value
lsId,LEASE-01
description,null
signedDate,2026-05-01T00:00:00.000Z
handoverDate,2026-05-01
startDate,2026-05-01
endDate,2026-05-31
lsType,EXTERNAL
rentType,GROSS_RENT
spaceUse,MIXED_USE
currency,USD
vatExcluded,false
isSign,true
partyId,null
isLandlord,null
landlordTenant,null
leaseSublease,LEASE
parentLsId,null
siteId,HN_S
buildingId,FL_ZEN
pic,null
amountDeposit,100
rentUnitCost,100
serviceUnitCost,10
baseExchangeRate,25000
areaNegotiated,null
areaCorridor,null
amenityId,null
assumeRenewal,true
indexCost,null
docUrl,null
active,false
createdAt,2026-05-19T23:01:40.326
updatedAt,2026-05-19T23:01:40.331
action,UPDATE
