Field Name,New Value
lsId,LEASE-02
description,MINHTEST
signedDate,2026-05-02T00:00:00.000Z
handoverDate,2026-05-02
startDate,2026-05-02
endDate,2026-10-22
lsType,EXTERNAL
rentType,GROSS_RENT
spaceUse,RETAIL
currency,USD
vatExcluded,true
isSign,true
partyId,TE-001
isLandlord,null
landlordTenant,null
leaseSublease,null
parentLsId,null
siteId,APR
buildingId,APR-A
pic,null
amountDeposit,1000
rentUnitCost,100
serviceUnitCost,10
baseExchangeRate,26000
areaNegotiated,null
areaCorridor,null
amenityId,null
assumeRenewal,true
indexCost,null
docUrl,null
active,true
createdAt,2026-05-02T23:12:17.653
updatedAt,2026-05-11T02:47:40.245
action,UPDATE
