Field Name,New Value
lsId,LEASE02
description,test
signedDate,2026-05-01T00:00:00.000Z
handoverDate,2026-05-01
startDate,2026-05-01
endDate,2027-05-01
lsType,EXTERNAL
rentType,GROSS_RENT
spaceUse,N_A
currency,VND
vatExcluded,true
isSign,true
partyId,TE-001
isLandlord,null
landlordTenant,null
leaseSublease,null
parentLsId,null
siteId,APR
buildingId,APR-A
pic,null
amountDeposit,1000000
rentUnitCost,1000000
serviceUnitCost,50000
baseExchangeRate,1
areaNegotiated,null
areaCorridor,null
amenityId,APR-PARKING
assumeRenewal,true
indexCost,null
docUrl,null
active,true
createdAt,2026-05-13T18:20:29.72
updatedAt,2026-05-13T18:20:49.996
action,UPDATE
