Field Name,New Value
lsId,1
description,test
signedDate,null
handoverDate,null
startDate,null
endDate,null
lsType,null
rentType,null
spaceUse,null
currency,null
vatExcluded,null
isSign,null
partyId,null
isLandlord,null
landlordTenant,null
leaseSublease,null
parentLsId,null
siteId,APR
buildingId,APR-A
pic,null
amountDeposit,null
rentUnitCost,null
serviceUnitCost,null
baseExchangeRate,null
areaNegotiated,null
areaCorridor,null
amenityId,null
assumeRenewal,null
indexCost,null
docUrl,null
active,true
createdAt,2026-05-21T22:50:52.538
updatedAt,2026-05-21T22:52:16.106
action,UPDATE
