Field Name,New Value
lsId,bể cá
description,null
signedDate,2026-05-01
handoverDate,2026-05-01
startDate,2026-05-01
endDate,2026-12-31
lsType,null
rentType,null
spaceUse,null
currency,USD
vatExcluded,null
isSign,null
partyId,null
isLandlord,null
landlordTenant,null
leaseSublease,null
parentLsId,null
siteId,APR
buildingId,APR_B
pic,null
amountDeposit,null
rentUnitCost,100
serviceUnitCost,20
baseExchangeRate,26000
areaNegotiated,null
areaCorridor,null
amenityId,APR_B_Pool
assumeRenewal,null
indexCost,null
docUrl,null
active,true
createdAt,2026-05-17T22:40:32.253
updatedAt,2026-05-18T20:16:17.797
