Field Name,New Value
lsId,LEASE0001
description,test
signedDate,2026-05-19T00:00:00.000Z
handoverDate,2026-05-19
startDate,2026-05-19
endDate,2026-05-31
lsType,EXTERNAL
rentType,GROSS_RENT
spaceUse,OFFICE
currency,USD
vatExcluded,true
isSign,true
partyId,TE-001
isLandlord,null
landlordTenant,null
leaseSublease,LEASE
parentLsId,null
siteId,APR
buildingId,APR-A
pic,null
amountDeposit,1000
rentUnitCost,10
serviceUnitCost,1
baseExchangeRate,26400
areaNegotiated,null
areaCorridor,null
amenityId,null
assumeRenewal,true
indexCost,null
docUrl,null
active,true
createdAt,2026-05-19T23:35:29.025
updatedAt,2026-05-19T23:35:48.561
action,UPDATE
