Field Name,New Value
lsId,le
description,null
signedDate,2026-05-19T00:00:00.000Z
handoverDate,2026-05-19
startDate,null
endDate,null
lsType,null
rentType,null
spaceUse,null
currency,null
vatExcluded,null
isSign,null
partyId,null
isLandlord,null
landlordTenant,null
leaseSublease,null
parentLsId,null
siteId,null
buildingId,null
pic,null
amountDeposit,null
rentUnitCost,null
serviceUnitCost,null
baseExchangeRate,null
areaNegotiated,null
areaCorridor,null
amenityId,null
assumeRenewal,null
indexCost,null
docUrl,null
active,true
createdAt,2026-05-20T00:05:45.912
updatedAt,2026-05-20T00:05:45.912
action,UPDATE
