Field Name,New Value
lsId,LEASE-01
description,test
signedDate,2026-05-19T00:00:00.000Z
handoverDate,null
startDate,null
endDate,null
lsType,null
rentType,null
spaceUse,null
currency,null
vatExcluded,null
isSign,null
partyId,null
isLandlord,null
landlordTenant,null
leaseSublease,null
parentLsId,null
siteId,APR
buildingId,APR-A
pic,null
amountDeposit,null
rentUnitCost,null
serviceUnitCost,null
baseExchangeRate,null
areaNegotiated,null
areaCorridor,null
amenityId,null
assumeRenewal,null
indexCost,null
docUrl,null
active,true
createdAt,2026-05-19T23:53:48.348
updatedAt,2026-05-19T23:53:48.361
action,UPDATE
